time,mouse_dx,mouse_dy,mouse_scroll
2021-02-01T17:29:07.802,0,0,0
2021-02-01T17:29:07.805,0,0,0
2021-02-01T17:29:07.810,0,0,0
2021-02-01T17:29:07.819,0,0,0
2021-02-01T17:29:07.822,0,0,0
2021-02-01T17:29:07.825,0,0,0
2021-02-01T17:29:07.830,0,0,0
2021-02-01T17:29:07.833,0,0,0
2021-02-01T17:29:07.839,0,0,0
2021-02-01T17:29:07.844,0,0,0
2021-02-01T17:29:07.847,0,0,0
2021-02-01T17:29:07.852,0,0,0
2021-02-01T17:29:07.855,0,0,0
2021-02-01T17:29:07.864,0,0,0
2021-02-01T17:29:07.867,0,0,0
2021-02-01T17:29:07.871,0,0,0
2021-02-01T17:29:07.875,0,0,0
2021-02-01T17:29:07.879,0,0,0
2021-02-01T17:29:07.885,0,0,0
2021-02-01T17:29:07.889,0,0,0
2021-02-01T17:29:07.892,0,0,0
2021-02-01T17:29:07.896,0,0,0
2021-02-01T17:29:07.907,0,0,0
2021-02-01T17:29:07.910,0,0,0
2021-02-01T17:29:07.913,0,0,0
2021-02-01T17:29:07.921,0,0,0
2021-02-01T17:29:07.926,0,0,0
2021-02-01T17:29:07.930,0,0,0
2021-02-01T17:29:07.934,0,0,0
2021-02-01T17:29:07.938,0,0,0
2021-02-01T17:29:07.942,0,0,0
2021-02-01T17:29:07.947,0,0,0
2021-02-01T17:29:07.952,0,0,0
2021-02-01T17:29:07.955,0,0,0
2021-02-01T17:29:07.960,0,0,0
2021-02-01T17:29:07.963,0,0,0
2021-02-01T17:29:07.975,0,0,0
2021-02-01T17:29:07.979,0,0,0
2021-02-01T17:29:07.980,0,0,0
2021-02-01T17:29:07.984,0,0,0
2021-02-01T17:29:07.991,0,0,0
2021-02-01T17:29:07.992,0,0,0
2021-02-01T17:29:07.998,0,0,0
2021-02-01T17:29:08.002,0,0,0
2021-02-01T17:29:08.005,0,0,0
2021-02-01T17:29:08.009,0,0,0
2021-02-01T17:29:08.013,0,0,0
2021-02-01T17:29:08.018,0,0,0
2021-02-01T17:29:08.022,0,0,0
2021-02-01T17:29:08.025,0,0,0
2021-02-01T17:29:08.029,0,0,0
2021-02-01T17:29:08.036,0,0,0
2021-02-01T17:29:08.041,0,0,0
2021-02-01T17:29:08.044,0,0,0
2021-02-01T17:29:08.048,0,0,0
2021-02-01T17:29:08.052,0,0,0
2021-02-01T17:29:08.056,0,0,0
2021-02-01T17:29:08.060,0,0,0
2021-02-01T17:29:08.065,0,0,0
2021-02-01T17:29:08.069,0,0,0
2021-02-01T17:29:08.074,0,0,0
2021-02-01T17:29:08.077,0,0,0
2021-02-01T17:29:08.081,0,0,0
2021-02-01T17:29:08.085,0,0,0
2021-02-01T17:29:08.089,0,0,0
2021-02-01T17:29:08.094,0,0,0
2021-02-01T17:29:08.097,0,0,0
2021-02-01T17:29:08.101,0,0,0
2021-02-01T17:29:08.105,0,0,0
2021-02-01T17:29:08.109,0,0,0
2021-02-01T17:29:08.113,0,0,0
2021-02-01T17:29:08.117,0,0,0
2021-02-01T17:29:08.121,0,0,0
2021-02-01T17:29:08.125,0,0,0
2021-02-01T17:29:08.130,0,0,0
2021-02-01T17:29:08.134,0,0,0
2021-02-01T17:29:08.137,0,0,0
2021-02-01T17:29:08.141,0,0,0
2021-02-01T17:29:08.145,0,0,0
2021-02-01T17:29:08.149,0,0,0
2021-02-01T17:29:08.153,0,0,0
2021-02-01T17:29:08.156,0,0,0
2021-02-01T17:29:08.160,0,0,0
2021-02-01T17:29:08.164,0,0,0
2021-02-01T17:29:08.170,0,0,0
2021-02-01T17:29:08.174,0,0,0
2021-02-01T17:29:08.178,0,0,0
2021-02-01T17:29:08.183,0,0,0
2021-02-01T17:29:08.186,0,0,0
2021-02-01T17:29:08.190,0,0,0
2021-02-01T17:29:08.195,0,0,0
2021-02-01T17:29:08.199,0,0,0
2021-02-01T17:29:08.202,0,0,0
2021-02-01T17:29:08.206,0,0,0
2021-02-01T17:29:08.210,0,0,0
2021-02-01T17:29:08.214,0,0,0
2021-02-01T17:29:08.218,0,0,0
2021-02-01T17:29:08.222,0,0,0
2021-02-01T17:29:08.226,0,0,0
2021-02-01T17:29:08.230,0,0,0
2021-02-01T17:29:08.234,0,0,0
2021-02-01T17:29:08.238,0,0,0
2021-02-01T17:29:08.242,0,0,0
2021-02-01T17:29:08.246,0,0,0
2021-02-01T17:29:08.250,0,0,0
2021-02-01T17:29:08.254,0,0,0
2021-02-01T17:29:08.258,0,0,0
2021-02-01T17:29:08.262,0,0,0
2021-02-01T17:29:08.266,0,0,0
2021-02-01T17:29:08.270,0,0,0
2021-02-01T17:29:08.274,0,0,0
2021-02-01T17:29:08.278,0,0,0
2021-02-01T17:29:08.282,0,0,0
2021-02-01T17:29:08.286,0,0,0
2021-02-01T17:29:08.290,0,0,0
2021-02-01T17:29:08.294,0,0,0
2021-02-01T17:29:08.298,0,0,0
2021-02-01T17:29:08.302,0,0,0
2021-02-01T17:29:08.306,0,0,0
2021-02-01T17:29:08.310,0,0,0
2021-02-01T17:29:08.314,0,0,0
2021-02-01T17:29:08.319,0,0,0
2021-02-01T17:29:08.323,0,0,0
2021-02-01T17:29:08.328,0,0,0
2021-02-01T17:29:08.331,0,0,0
2021-02-01T17:29:08.335,0,0,0
2021-02-01T17:29:08.339,0,0,0
2021-02-01T17:29:08.344,0,0,0
2021-02-01T17:29:08.349,0,0,0
2021-02-01T17:29:08.352,0,0,0
2021-02-01T17:29:08.356,0,0,0
2021-02-01T17:29:08.360,0,0,0
2021-02-01T17:29:08.364,0,0,0
2021-02-01T17:29:08.368,0,0,0
2021-02-01T17:29:08.374,0,0,0
2021-02-01T17:29:08.377,0,0,0
2021-02-01T17:29:08.380,0,0,0
2021-02-01T17:29:08.384,0,0,0
2021-02-01T17:29:08.388,0,0,0
2021-02-01T17:29:08.392,0,0,0
2021-02-01T17:29:08.396,0,0,0
2021-02-01T17:29:08.400,0,0,0
2021-02-01T17:29:08.404,0,0,0
2021-02-01T17:29:08.408,0,0,0
2021-02-01T17:29:08.412,0,0,0
2021-02-01T17:29:08.416,0,0,0
2021-02-01T17:29:08.420,0,0,0
2021-02-01T17:29:08.425,0,0,0
2021-02-01T17:29:08.429,0,0,0
2021-02-01T17:29:08.434,0,0,0
2021-02-01T17:29:08.438,0,0,0
2021-02-01T17:29:08.442,0,0,0
2021-02-01T17:29:08.446,0,0,0
2021-02-01T17:29:08.451,0,0,0
2021-02-01T17:29:08.456,0,0,0
2021-02-01T17:29:08.459,0,0,0
2021-02-01T17:29:08.464,0,0,0
2021-02-01T17:29:08.468,0,0,0
2021-02-01T17:29:08.474,0,0,0
2021-02-01T17:29:08.476,0,0,0
2021-02-01T17:29:08.480,0,0,0
2021-02-01T17:29:08.485,0,0,0
2021-02-01T17:29:08.489,0,0,0
2021-02-01T17:29:08.493,0,0,0
2021-02-01T17:29:08.496,0,0,0
2021-02-01T17:29:08.501,0,0,0
2021-02-01T17:29:08.504,0,0,0
2021-02-01T17:29:08.509,0,0,0
2021-02-01T17:29:08.512,0,0,0
2021-02-01T17:29:08.517,0,0,0
2021-02-01T17:29:08.522,0,0,0
2021-02-01T17:29:08.526,0,0,0
2021-02-01T17:29:08.529,0,0,0
2021-02-01T17:29:08.534,0,0,0
2021-02-01T17:29:08.537,0,0,0
2021-02-01T17:29:08.541,0,0,0
2021-02-01T17:29:08.545,0,0,0
2021-02-01T17:29:08.550,0,0,0
2021-02-01T17:29:08.553,0,0,0
2021-02-01T17:29:08.557,0,0,0
2021-02-01T17:29:08.562,0,0,0
2021-02-01T17:29:08.565,0,0,0
2021-02-01T17:29:08.569,0,0,0
