time,mouse_key
2021-02-01T17:25:14.188,"{}"
2021-02-01T17:25:14.192,"{}"
2021-02-01T17:25:14.196,"{}"
2021-02-01T17:25:14.200,"{}"
2021-02-01T17:25:14.206,"{}"
2021-02-01T17:25:14.210,"{}"
2021-02-01T17:25:14.214,"{}"
2021-02-01T17:25:14.218,"{}"
2021-02-01T17:25:14.221,"{}"
2021-02-01T17:25:14.227,"{}"
2021-02-01T17:25:14.231,"{}"
2021-02-01T17:25:14.234,"{}"
2021-02-01T17:25:14.238,"{}"
2021-02-01T17:25:14.244,"{}"
2021-02-01T17:25:14.247,"{}"
2021-02-01T17:25:14.251,"{}"
2021-02-01T17:25:14.255,"{}"
2021-02-01T17:25:14.259,"{}"
2021-02-01T17:25:14.263,"{}"
2021-02-01T17:25:14.267,"{}"
2021-02-01T17:25:14.271,"{}"
2021-02-01T17:25:14.276,"{}"
2021-02-01T17:25:14.281,"{}"
2021-02-01T17:25:14.285,"{}"
2021-02-01T17:25:14.289,"{}"
2021-02-01T17:25:14.293,"{}"
2021-02-01T17:25:14.299,"{}"
2021-02-01T17:25:14.303,"{}"
2021-02-01T17:25:14.306,"{}"
2021-02-01T17:25:14.310,"{}"
2021-02-01T17:25:14.314,"{}"
2021-02-01T17:25:14.320,"{}"
2021-02-01T17:25:14.323,"{}"
2021-02-01T17:25:14.327,"{}"
2021-02-01T17:25:14.330,"{}"
2021-02-01T17:25:14.335,"{}"
2021-02-01T17:25:14.339,"{}"
2021-02-01T17:25:14.349,"{}"
2021-02-01T17:25:14.350,"{}"
2021-02-01T17:25:14.353,"{}"
2021-02-01T17:25:14.357,"{}"
2021-02-01T17:25:14.361,"{}"
2021-02-01T17:25:14.365,"{}"
2021-02-01T17:25:14.370,"{}"
2021-02-01T17:25:14.375,"{}"
2021-02-01T17:25:14.379,"{}"
2021-02-01T17:25:14.382,"{}"
2021-02-01T17:25:14.386,"{}"
2021-02-01T17:25:14.392,"{}"
2021-02-01T17:25:14.396,"{}"
2021-02-01T17:25:14.399,"{}"
2021-02-01T17:25:14.403,"{}"
2021-02-01T17:25:14.407,"{}"
2021-02-01T17:25:14.411,"{}"
2021-02-01T17:25:14.415,"{}"
2021-02-01T17:25:14.420,"{}"
2021-02-01T17:25:14.424,"{}"
2021-02-01T17:25:14.428,"{}"
2021-02-01T17:25:14.432,"{}"
2021-02-01T17:25:14.436,"{}"
2021-02-01T17:25:14.442,"{}"
2021-02-01T17:25:14.448,"{}"
2021-02-01T17:25:14.450,"{}"
2021-02-01T17:25:14.454,"{}"
2021-02-01T17:25:14.458,"{}"
2021-02-01T17:25:14.462,"{}"
2021-02-01T17:25:14.466,"{}"
2021-02-01T17:25:14.472,"{}"
2021-02-01T17:25:14.476,"{}"
2021-02-01T17:25:14.480,"{}"
2021-02-01T17:25:14.484,"{}"
2021-02-01T17:25:14.488,"{}"
2021-02-01T17:25:14.498,"{}"
2021-02-01T17:25:14.500,"{}"
2021-02-01T17:25:14.503,"{}"
2021-02-01T17:25:14.507,"{}"
2021-02-01T17:25:14.511,"{}"
2021-02-01T17:25:14.515,"{}"
2021-02-01T17:25:14.519,"{}"
2021-02-01T17:25:14.523,"{}"
2021-02-01T17:25:14.527,"{}"
2021-02-01T17:25:14.531,"{}"
2021-02-01T17:25:14.535,"{}"
2021-02-01T17:25:14.539,"{}"
2021-02-01T17:25:14.547,"{}"
2021-02-01T17:25:14.549,"{}"
2021-02-01T17:25:14.553,"{}"
2021-02-01T17:25:14.557,"{}"
2021-02-01T17:25:14.561,"{}"
2021-02-01T17:25:14.565,"{}"
2021-02-01T17:25:14.569,"{}"
2021-02-01T17:25:14.573,"{}"
2021-02-01T17:25:14.578,"{}"
2021-02-01T17:25:14.582,"{}"
2021-02-01T17:25:14.586,"{}"
2021-02-01T17:25:14.590,"{}"
2021-02-01T17:25:14.594,"{}"
2021-02-01T17:25:14.597,"{}"
2021-02-01T17:25:14.601,"{}"
2021-02-01T17:25:14.605,"{}"
2021-02-01T17:25:14.609,"{}"
2021-02-01T17:25:14.613,"{}"
2021-02-01T17:25:14.618,"{}"
2021-02-01T17:25:14.621,"{}"
2021-02-01T17:25:14.625,"{}"
2021-02-01T17:25:14.629,"{}"
2021-02-01T17:25:14.634,"{}"
2021-02-01T17:25:14.639,"{}"
2021-02-01T17:25:14.644,"{}"
2021-02-01T17:25:14.647,"{}"
2021-02-01T17:25:14.651,"{}"
2021-02-01T17:25:14.655,"{}"
2021-02-01T17:25:14.660,"{}"
2021-02-01T17:25:14.665,"{}"
2021-02-01T17:25:14.669,"{}"
2021-02-01T17:25:14.673,"{}"
2021-02-01T17:25:14.677,"{}"
2021-02-01T17:25:14.681,"{}"
2021-02-01T17:25:14.685,"{}"
2021-02-01T17:25:14.691,"{}"
2021-02-01T17:25:14.694,"{}"
2021-02-01T17:25:14.698,"{}"
2021-02-01T17:25:14.702,"{}"
2021-02-01T17:25:14.706,"{}"
2021-02-01T17:25:14.713,"{}"
2021-02-01T17:25:14.716,"{}"
2021-02-01T17:25:14.721,"{}"
2021-02-01T17:25:14.725,"{}"
2021-02-01T17:25:14.729,"{}"
2021-02-01T17:25:14.734,"{}"
2021-02-01T17:25:14.738,"{}"
2021-02-01T17:25:14.744,"{}"
2021-02-01T17:25:14.746,"{}"
2021-02-01T17:25:14.750,"{}"
2021-02-01T17:25:14.754,"{}"
2021-02-01T17:25:14.759,"{}"
2021-02-01T17:25:14.763,"{}"
2021-02-01T17:25:14.767,"{}"
2021-02-01T17:25:14.771,"{}"
2021-02-01T17:25:14.775,"{}"
2021-02-01T17:25:14.779,"{}"
2021-02-01T17:25:14.783,"{}"
2021-02-01T17:25:14.789,"{}"
2021-02-01T17:25:14.792,"{}"
2021-02-01T17:25:14.796,"{}"
2021-02-01T17:25:14.800,"{}"
2021-02-01T17:25:14.804,"{}"
2021-02-01T17:25:14.813,"{}"
2021-02-01T17:25:14.817,"{}"
2021-02-01T17:25:14.821,"{}"
2021-02-01T17:25:14.826,"{}"
2021-02-01T17:25:14.829,"{}"
2021-02-01T17:25:14.833,"{}"
2021-02-01T17:25:14.837,"{}"
2021-02-01T17:25:14.843,"{}"
2021-02-01T17:25:14.846,"{}"
2021-02-01T17:25:14.850,"{}"
2021-02-01T17:25:14.854,"{}"
2021-02-01T17:25:14.858,"{}"
2021-02-01T17:25:14.862,"{}"
2021-02-01T17:25:14.866,"{}"
2021-02-01T17:25:14.871,"{}"
2021-02-01T17:25:14.877,"{}"
2021-02-01T17:25:14.882,"{}"
2021-02-01T17:25:14.884,"{}"
2021-02-01T17:25:14.888,"{}"
2021-02-01T17:25:14.892,"{}"
2021-02-01T17:25:14.896,"{}"
2021-02-01T17:25:14.900,"{}"
2021-02-01T17:25:14.904,"{}"
2021-02-01T17:25:14.909,"{}"
2021-02-01T17:25:14.913,"{}"
2021-02-01T17:25:14.917,"{}"
2021-02-01T17:25:14.921,"{}"
2021-02-01T17:25:14.925,"{}"
2021-02-01T17:25:14.930,"{}"
2021-02-01T17:25:14.933,"{}"
2021-02-01T17:25:14.937,"{}"
2021-02-01T17:25:14.943,"{}"
2021-02-01T17:25:14.946,"{}"
2021-02-01T17:25:14.950,"{}"
2021-02-01T17:25:14.954,"{}"
2021-02-01T17:25:14.960,"{}"
2021-02-01T17:25:14.963,"{}"
2021-02-01T17:25:14.967,"{}"
2021-02-01T17:25:14.971,"{}"
2021-02-01T17:25:14.982,"{}"
2021-02-01T17:25:14.985,"{}"
2021-02-01T17:25:14.989,"{}"
2021-02-01T17:25:14.994,"{}"
2021-02-01T17:25:14.999,"{}"
2021-02-01T17:25:15.003,"{}"
2021-02-01T17:25:15.007,"{}"
2021-02-01T17:25:15.011,"{}"
